impl,units,seq_len,train_seqs,val_seqs,test_seqs,epochs,seed,lr,wall_s,test_mse,subproc_wall_s,n_params_or_edges
plastix,16,48,256,64,64,8,0,0.005,0.160516,0.186295,0.17357865300073172,82
raw,16,48,256,64,64,8,0,0.005,0.0838058,0.215884,0.09217191800053115,82
python,16,48,256,64,64,8,0,0.001,3.708,0.484485,6.401112768999155,1208
plastix,32,48,256,64,64,8,0,0.005,0.307031,0.159381,0.33118124500106205,164
raw,32,48,256,64,64,8,0,0.005,0.169024,0.160953,0.18229767699813237,164
python,32,48,256,64,64,8,0,0.001,8.124,0.4049,10.858586059999652,4456
plastix,48,48,256,64,64,8,0,0.005,0.474158,0.155301,0.5066481779977039,254
raw,48,48,256,64,64,8,0,0.005,0.333957,0.191503,0.35509714799991343,254
python,48,48,256,64,64,8,0,0.001,15.032,0.277495,17.930631267001445,9752
plastix,64,48,256,64,64,8,0,0.005,0.671772,0.163158,0.7163418109994382,338
raw,64,48,256,64,64,8,0,0.005,0.504285,0.290179,0.5250813019993075,338
python,64,48,256,64,64,8,0,0.001,28.9,0.473367,32.20766847399864,17096
